Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Pollution_Level
33,16113,150,3,0.8906172691419479,Good,2.1284798033572363,Moderate,0.5589395164285128,Good,1.4869939945966524,Unhealthy,Low
22,16117,154,3,1.9823056418336138,Good,-1.2525287621975207,Good,1.8912586479283804,Good,1.5599929889222726,Unhealthy,High
69,16158,81,2,-0.20107110354971808,Good,-0.3983792298468453,Good,-0.3927170060713926,Good,0.22776134247970606,Moderate,Low
34,16220,67,2,-0.20107110354971808,Good,-0.6830957406304038,Good,-0.20238570157141153,Good,-0.02773513765996423,Moderate,Low
129,16283,62,2,-0.20107110354971808,Good,0.06428510017643721,Good,-0.3927170060713926,Good,-0.11898388056698933,Moderate,Low
130,16299,31,0,-0.20107110354971808,Good,-0.14925228291123166,Good,-0.5830483105713736,Good,-0.9402225667302152,Good,Low
54,16354,56,2,-0.20107110354971808,Good,-0.006894027519452412,Good,-0.5830483105713736,Good,-0.22848237205541946,Moderate,Low
166,16365,77,2,0.3447730827961149,Good,-0.46955835754273495,Good,2.2719212569283425,Good,0.154762348154086,Moderate,Low
70,16367,44,0,-0.20107110354971808,Good,-0.7186853044783486,Good,-0.5830483105713736,Good,-0.4474793550322797,Good,Low
22,16391,30,0,-0.20107110354971808,Good,-0.9322226875660174,Good,-0.20238570157141153,Good,-0.70297583517195,Good,Low
53,16392,30,0,-0.20107110354971808,Good,-0.18484184675917645,Good,-0.3927170060713926,Good,-0.9767220638930253,Good,Low
144,16412,79,2,0.8906172691419479,Good,-0.6119166129345142,Good,0.3686082119285317,Good,0.19126184531689602,Moderate,Low
166,16425,34,0,-0.20107110354971808,Good,-0.5763270490865694,Good,0.7492708209284938,Good,-0.6299768408463299,Good,Low
164,16432,51,2,-0.20107110354971808,Good,-0.5407374852386245,Good,0.3686082119285317,Good,-0.31973111496244455,Moderate,Low
166,16439,77,2,-0.20107110354971808,Good,-0.042483591367397225,Good,-0.5830483105713736,Good,0.154762348154086,Moderate,Low
166,16479,61,2,-0.20107110354971808,Good,-0.11366271906328684,Good,-0.012054397071430436,Good,-0.13723362914839435,Moderate,Low
22,16494,32,0,-0.20107110354971808,Good,-1.003401815261907,Good,-0.20238570157141153,Good,-0.66647633800914,Good,Low
33,5004,64,2,0.8906172691419479,Good,1.025203324070947,Moderate,0.17827690742855065,Good,-0.0824843834041793,Moderate,Low
130,5012,29,0,-0.7469152898955511,Good,-0.22043141060712126,Good,-0.5830483105713736,Good,-0.7942245780789751,Good,Low
165,5063,51,2,-0.20107110354971808,Good,-0.43396879369479013,Good,-0.5830483105713736,Good,-0.31973111496244455,Moderate,Low
69,5067,247,5,0.8906172691419479,Good,4.512980581169538,Unhealthy,-0.3927170060713926,Good,3.2572196069929396,Very Unhealthy,High
166,5127,45,0,-0.20107110354971808,Good,-0.11366271906328684,Good,0.7492708209284938,Good,-0.42922960645087466,Good,Low
15,5167,36,0,-0.20107110354971808,Good,-0.3627896659989005,Good,-0.012054397071430436,Good,-0.5934773436835199,Good,Low
47,5171,81,2,0.3447730827961149,Good,1.6302259094860088,Moderate,0.17827690742855065,Good,-0.22848237205541946,Moderate,Low
65,5191,124,4,0.3447730827961149,Good,-0.7186853044783486,Good,0.3686082119285317,Good,1.0125005314801219,Unhealthy for Sensitive Groups,Low
166,5202,72,2,-0.20107110354971808,Good,-0.3272001021509557,Good,-0.20238570157141153,Good,0.06351360524706087,Moderate,Low
164,5221,55,2,-0.7469152898955511,Good,-0.11366271906328684,Good,-0.3927170060713926,Good,-0.24673212063682448,Moderate,Low
166,5264,31,0,-0.7469152898955511,Good,-0.14925228291123166,Good,-0.5830483105713736,Good,-0.7942245780789751,Good,Low
116,5290,157,3,-0.20107110354971808,Good,1.9149424202695673,Moderate,-0.5830483105713736,Good,1.6147422346664877,Unhealthy,High
69,5315,60,2,-0.20107110354971808,Good,-0.14925228291123166,Good,-0.3927170060713926,Good,-0.15548337772979937,Moderate,Low
116,5372,153,3,-0.20107110354971808,Good,0.17105379172027163,Good,-0.5830483105713736,Good,1.5417432403408675,Unhealthy,High
143,5404,22,0,-0.7469152898955511,Good,-0.5763270490865694,Good,-0.5830483105713736,Good,-0.8489738238231902,Good,Low
122,5410,30,0,-0.20107110354971808,Good,-0.647506176782459,Good,-0.5830483105713736,Good,-0.70297583517195,Good,Low
85,5439,44,0,-0.20107110354971808,Good,-0.042483591367397225,Good,-0.5830483105713736,Good,-0.4474793550322797,Good,Low
166,7248,47,0,-0.20107110354971808,Good,0.06428510017643721,Good,0.17827690742855065,Good,-0.3927301092880646,Good,Low
109,7263,37,0,-0.7469152898955511,Good,-0.11366271906328684,Good,-0.20238570157141153,Good,-0.5752275951021149,Good,Low
166,7281,44,0,-0.20107110354971808,Good,-0.7542748683262934,Good,0.9396021254284749,Good,-0.4474793550322797,Good,Low
166,7284,58,2,0.3447730827961149,Good,-0.7542748683262934,Good,3.984902997428172,Good,-0.1919828748926094,Moderate,Low
123,7352,37,0,-0.7469152898955511,Good,-0.07807315521534203,Good,-0.5830483105713736,Good,-0.5752275951021149,Good,Low
34,7385,89,2,0.8906172691419479,Good,-1.1457600706536863,Good,0.5589395164285128,Good,0.3737593311309462,Moderate,Low
75,7417,52,2,0.3447730827961149,Good,0.09987466402438201,Good,0.7492708209284938,Good,-0.30148136638103956,Moderate,Low
31,7450,59,2,0.3447730827961149,Good,-0.6830957406304038,Good,-0.5830483105713736,Good,-0.17373312631120438,Moderate,Low
164,7464,51,2,-0.20107110354971808,Good,-0.3627896659989005,Good,0.5589395164285128,Good,-0.31973111496244455,Moderate,Low
122,7477,66,2,-0.20107110354971808,Good,-0.3272001021509557,Good,-0.3927170060713926,Good,-0.04598488624136925,Moderate,Low
130,7484,38,0,-0.20107110354971808,Good,0.09987466402438201,Good,-0.5830483105713736,Good,-1.0132215610558353,Good,Low
166,7823,34,0,-0.20107110354971808,Good,-0.18484184675917645,Good,0.7492708209284938,Good,-0.6299768408463299,Good,Low
166,7847,88,2,0.3447730827961149,Good,-0.8610435598701278,Good,3.223577779428248,Good,0.3555095825495412,Moderate,Low
58,7858,54,2,-0.20107110354971808,Good,-0.14925228291123166,Good,-0.012054397071430436,Good,-0.26498186921822947,Moderate,Low
58,7877,44,0,-0.20107110354971808,Good,-0.25602097445506605,Good,-0.012054397071430436,Good,-0.4474793550322797,Good,Low
164,7897,51,2,-0.20107110354971808,Good,-0.3272001021509557,Good,0.5589395164285128,Good,-0.31973111496244455,Moderate,Low
166,7985,67,2,0.3447730827961149,Good,-0.7186853044783486,Good,3.794571692928191,Good,-0.02773513765996423,Moderate,Low
22,7989,42,0,-0.20107110354971808,Good,-1.0745809429577966,Good,-0.20238570157141153,Good,-0.48397885219508974,Good,Low
